Category,Subcategory,Subcategory2,Command,Notes
Augmentations,Starting Ship Augmentations,,AUG OBSIDIAN_ARMOR_SHARD,extra 40% chance to break off a heavy crystal shard on taking hull damage
Augmentations,Starting Ship Augmentations,,AUG PALADIN_ARMOR,"Divine Armor (Paladin Cruisers, currently Transport C only)"
Augmentations,Starting Ship Augmentations,,AUG PALADIN_ARMOR_PLAYER,Divine Armor+ (Alt-Paladin Cruiser)
Augmentations,Starting Ship Augmentations,,AUG SALT_ARMOR,Salt Plating (Salt Cruisers)
Augmentations,Starting Ship Augmentations,,AUG REGEN_ARMOR,Regenerative Plating (Lost Sun Cruisers)
Augmentations,Starting Ship Augmentations,,AUG LOCKED_REGEN_ARMOR,
Augmentations,Starting Ship Augmentations,,AUG CRYSTAL_ARMOR,Crystalline Armor
Augmentations,Starting Ship Augmentations,,AUG LOCKED_CRYSTAL_ARMOR,
Augmentations,Starting Ship Augmentations,,AUG CRYSTAL_ARMOR_100,Shatter Armor (SSLG C)
Augmentations,Starting Ship Augmentations,,AUG CRYSTAL_ARMOR_ENEMY,enemy version of Crystalline Armor [33% shard chance]
Augmentations,Starting Ship Augmentations,,AUG ENERGY_SHIELD,Zoltan Shield
Augmentations,Starting Ship Augmentations,,AUG LOCKED_ENERGY_SHIELD,
Augmentations,Starting Ship Augmentations,,AUG LOOT_COMPASS,"Hijacked Frequencies (Prototype Cruiser Unlock, also starts on Prototype A)"
Augmentations,Starting Ship Augmentations,,AUG FLEET_LURE,Rebel Lure (Prototype B)
Augmentations,Starting Ship Augmentations,,AUG ADV_SCANNERS_CLOAK,"Advanced Sensor Suite (Federation Auto A/B, found from completing NEBULA_LIGHT_QUEST_STARGROVE_AUTO_CRUISER)"
Augmentations,Starting Ship Augmentations,,AUG ASTROMETRICS,Astrometric Mainframe (Federation Auto C)
Augmentations,Starting Ship Augmentations,,AUG SUPER_ARMOR,Steel Plating (Duskbringer B)
Augmentations,Starting Ship Augmentations,,AUG LOCKED_GLOBAL_TELEPORT,Centralized Teleporter (Peacekeeping A)
Augmentations,Starting Ship Augmentations,,AUG LOCKED_SHIP_TELEPORT,Personal Teleporters (Peackeeping C)
Augmentations,Starting Ship Augmentations,,AUG OSMIAN_BATTERIES,Overfield (Osmian Cruisers)
Augmentations,Starting Ship Augmentations,,AUG SLUG_GEL,Slug Repair Gel
Augmentations,Starting Ship Augmentations,,AUG HEKTAR_GEL,Hektar Ultra-Stick Gel (tm)
Augmentations,Starting Ship Augmentations,,AUG PLEASURE_GEL,Suspicious Gel (Slug Pleasure Barges and the Pleasure Flagship)
Augmentations,Starting Ship Augmentations,,AUG CREW_STIMS,Pheromone Dispersal
Augmentations,Starting Ship Augmentations,,AUG LOCKED_CREW_STIMS,
Augmentations,Starting Ship Augmentations,,AUG CREW_STIMS_ULTRA,"Clansman Stolen Pheromones [technically Mantis but only the enemy Guild Lawkeeper has these, x10 effect]"
Augmentations,Starting Ship Augmentations,,AUG SUPER_CREW_STIMS,Synthesized Pheromones (Free Mantis Cruisers)
Augmentations,Starting Ship Augmentations,,AUG LOCKED_SUPER_CREW_STIMS,
Augmentations,Starting Ship Augmentations,,AUG LOCKED_ELITE_STIMS,Big Vibe Pheromones (Warlord Cruiser)
Augmentations,Starting Ship Augmentations,,AUG SUZERAIN_CREW_STIMS,Suzerain Pheromones
Augmentations,Starting Ship Augmentations,,AUG LOCKED_SUZERAIN_CREW_STIMS,
Augmentations,Starting Ship Augmentations,,AUG KERNEL_REPLICATOR,Kernel Greenhouse
Augmentations,Starting Ship Augmentations,,AUG LOCKED_KERNEL_REPLICATOR,
Augmentations,Starting Ship Augmentations,,AUG WOOD_PLATING,Titanwood Hull (Kadahellian C)
Augmentations,Starting Ship Augmentations,,AUG CARETAKER_BUFF,Organic Rebreathers (Caretaker C)
Augmentations,Starting Ship Augmentations,,AUG PRAETOR_BUFF,Spore Reserves (Kadahellian B/Praetorian Cruiser)
Augmentations,Starting Ship Augmentations,,AUG SPORE_AIR,Spore Dispensary
Augmentations,Starting Ship Augmentations,,AUG LOCKED_SPORE_AIR,
Augmentations,Starting Ship Augmentations,,AUG SPORE_AIR_ELITE,Spore Redistributor (Alt-Cultivator Cruiser)
Augmentations,Starting Ship Augmentations,,AUG SPORE_AIR_STRONG,Overflowing Spores (Cultivator A/B)
Augmentations,Starting Ship Augmentations,,AUG SPORE_SHIPMENT,Valuable Spores (Cultivator C)
Augmentations,Starting Ship Augmentations,,AUG MORPH_DATABASE,DNA Samples (Morph Spurgle Yurgle A and OOJ's crewser)
Augmentations,Starting Ship Augmentations,,AUG MORPH_DATABASE_ADV,Genetic Codex (Morph Spurgle Yurgle C)
Augmentations,Starting Ship Augmentations,,AUG TOXIC_GAS,Toxic Gas (Geniocracy Cruisers)
Augmentations,Starting Ship Augmentations,,AUG LOCKED_TOXIC_GAS,
Augmentations,Starting Ship Augmentations,,AUG REGEN_GAS,Expeditive Gas (Geniocracy Science A/C)
Augmentations,Starting Ship Augmentations,,AUG LOCKED_REGEN_GAS,
Augmentations,Starting Ship Augmentations,,AUG PECULIAR_GAS,Peculiar Gas (Geniocracy Science B)
Augmentations,Starting Ship Augmentations,,AUG NANITE_GAS,Nanite Gas (Geniocracy Management Cruisers)
Augmentations,Starting Ship Augmentations,,AUG LOCKED_NANITE_GAS,
Augmentations,Starting Ship Augmentations,,AUG RADIANT_GAS,Botulinum Gas (Radiant Cruiser)
Augmentations,Starting Ship Augmentations,,AUG REPAIR_HULL,Assimilative Plating (Augmented Cruisers)
Augmentations,Starting Ship Augmentations,,AUG NANOBOT_DEFENSE_SYSTEM,Murder-Bot Dispersal (Separatist Cruisers and Harmony Cruiser)
Augmentations,Starting Ship Augmentations,,AUG LOCKED_NANOBOT_DEFENSE_SYSTEM,
Augmentations,Starting Ship Augmentations,,AUG MEDBAY_DEFENSE,Utility-Bot Dispersal (Transport C only)
Augmentations,Starting Ship Augmentations,,AUG LOCKED_COAL_AUG,R.U.E.S. Plating (R.U.E.S. Cruiser)
Augmentations,Starting Ship Augmentations,,AUG SYSTEM_CASING,"Titanium System Casing [vanilla, only system resistance]"
Augmentations,Starting Ship Augmentations,,AUG SYSTEM_CASING_NEW,"Titanium System Casing [new, system resist+sabotage resistance]"
Augmentations,Starting Ship Augmentations,,AUG LOCKED_SYSTEM_CASING,
Augmentations,Starting Ship Augmentations,,AUG MODULAR_STORE,#NAME?
Augmentations,Starting Ship Augmentations,,AUG GOLD_ARMOR,Golden Plating (Tuco C)
Augmentations,Starting Ship Augmentations,,AUG SOLAR_PANELS,Solar Panels (Orchid C)
Augmentations,Starting Ship Augmentations,,AUG MULTIVERSE_DRIVE,Replica A-Drive (Proto-MV B/C)
Augmentations,Starting Ship Augmentations,,AUG MULTIVERSE_DRIVE_GOOD,Aether Drive (Proto-MV A)
Augmentations,Starting Ship Augmentations,,AUG EX_PAYLOAD_CREATOR,Payload Fabricator (Prototype C)
Augmentations,Starting Ship Augmentations,,AUG PAYLOAD_CREATOR,
Augmentations,Starting Ship Augmentations,,AUG ATM_MACHINE,Busted ATM (Pimped Out B)
Augmentations,Starting Ship Augmentations,,AUG INFINITE_BEANS,Beans Portal (C.E.L. C)
Augmentations,Starting Ship Augmentations,,AUG EXTRA_LIFE,Emergency Protocols (Proto-MV B)
Augmentations,Starting Ship Augmentations,,AUG SUICIDE_BUTTON,Dead Man's Switch (Proto-MV B)
Augmentations,Starting Ship Augmentations,,AUG EMERGENCY_DRIVE,Secondary-Impulse Drive (Proto-MV C)
Augmentations,Starting Ship Augmentations,,AUG STORE_BEACON,Merchant Beacon
Augmentations,Starting Ship Augmentations,,AUG SLUG_DUPLICATOR,Pleasure Pods (Pleasure Barges A/B and the Pleasure Flagship)
Augmentations,Starting Ship Augmentations,,AUG SLUG_DUPLICATOR_GHOST,Haunted Pods (Pleasure Barge C)
Augmentations,Starting Ship Augmentations,,AUG SCRAP_HULL,All-Consuming Greed (Pimped Out A)
Augmentations,Starting Ship Augmentations,,AUG EQUINOID_DUPLICATOR,Stables (Equinoid cruisers)
Augmentations,Starting Ship Augmentations,,AUG GAMBLING_MACHINE,"Gambling Machine (from QUEST_TUCO_CASINO if you kill Tuco, also starts on Tuco B)"
Augmentations,Starting Ship Augmentations,,AUG GHOST_DUPLICATOR,Quick-Splitter
Augmentations,Starting Ship Augmentations,,AUG MVBOSS_SPAWNER,"Drive Hacker (Spook Chaser C, also a reward from Spectral Capital Ruins)"
Augmentations,Starting Ship Augmentations,,AUG STORY_TELLER,The Story Teller (Equinoid C)
Augmentations,Starting Ship Augmentations,,AUG ZOLTAN_SPAWNER,"Cryo-Storage (from Osmian cruiser unlock if you have strong crew, also on Osmian C)"
Augmentations,Starting Ship Augmentations,,AUG LOCKED_XENOPHOBIA,Xenophobia (Elite Rebel cruiser)
Augmentations,Starting Ship Augmentations,,AUG SYLVAN_SHIELD,Merchant's Shield (Sylvan A and Transport B)
Augmentations,Starting Ship Augmentations,,AUG SYLVAN_SHIELD_CONTINUITY,Adv. Merchant's Shield (C.E.L. A/C)
Augmentations,Starting Ship Augmentations,,AUG CURA_SURGES_DRONES,Surge Controller (Innovation A)
Augmentations,Starting Ship Augmentations,,AUG CURA_SURGES_FIRE,Surge Controller (Innovation B)
Augmentations,Starting Ship Augmentations,,AUG CURA_SURGES_DAMAGE,Surge Controller (Innovation C)
Augmentations,Starting Ship Augmentations,,AUG STORE_BEACON_SYLVAN,Nexus Beacon (Merchant Transport A)
Augmentations,Starting Ship Augmentations,,AUG GATLING_MAKER,Rift Forge (Merchant Transport B)
Augmentations,Starting Ship Augmentations,,AUG STORE_BEACON_SUPER,Wallace Beacon (Merchant Transport C)
Augmentations,Starting Ship Augmentations,,AUG PROTON_PACK,Proton Pack (Spook Chaser A/B)
Augmentations,Starting Ship Augmentations,,AUG LOCKED_PROTON_PACK,
Augmentations,Starting Ship Augmentations,,AUG GHOST_SPAWNER,Occult Portal (Spook Chaser B)
Events,Helpful Events,,EVENT STORAGE_CHECK_REAL,Storage Check
Events,Helpful Events,,EVENT MAP,Reveals Map
Events,Helpful Events,,EVENT FLEET_SLOW,Delays Fleet for 999 jumps
Events,Helpful Events,,EVENT FLEET_FAST,Boots Fleet for 999 jumps
Events,Helpful Events,,EVENT STALEMATE_SURRENDER,Enemy surrenders and you recieve 2 fuel
Events,Helpful Events,,EVENT START_BEACON,
Events,Helpful Events,,EVENT START_BEACON_PREP,skips setting the challenge level
Events,Helpful Events,,EVENT FINISH_BEACON,Exit Beacon Event
Events,Helpful Events,,EVENT FINISH_BEACON_NEBULA,
Events,Helpful Events,,EVENT FREE_ITEMS,
Events,Anomaly Events,,EVENT ANOMALY_ORACLE,[!] 
Events,Anomaly Events,,EVENT ANOMALY_CEL_QUESTIONS,[!] 
Events,Anomaly Events,,EVENT ANOMALY_CEL_COVERUP,[!] 
Events,Anomaly Events,,EVENT ANOMALY_CEL_WALDO,[!] 
Events,Anomaly Events,,EVENT ANOMALY_CEL_BACON,[!] 
Events,Anomaly Events,,EVENT GNOME_HATER,
Events,C.U.R.A Events,,EVENT CURA_PROPOSITION,[!] 
Events,C.U.R.A Events,,EVENT CURA_TASK_MENU,
Events,C.U.R.A Events,,EVENT CURA_TASK_MENU_NOSPECIAL,
Events,C.U.R.A Events,,EVENT CURA_SCHOOLID_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_SCHOOLID,
Events,C.U.R.A Events,,EVENT CURA_DRAWING_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_DRAWING,
Events,C.U.R.A Events,,EVENT CURA_CRUSH_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_CRUSH,
Events,C.U.R.A Events,,EVENT CURA_TOILET_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_TOILET,
Events,C.U.R.A Events,,EVENT CURA_PLUSHIE_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_PLUSHIE,
Events,C.U.R.A Events,,EVENT CURA_PETE,
Events,C.U.R.A Events,,EVENT CURA_USB_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_USB,
Events,C.U.R.A Events,,EVENT CURA_SURVIVOR_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_SURVIVOR,
Events,C.U.R.A Events,,EVENT CURA_WEDDING_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_WEDDING,
Events,C.U.R.A Events,,EVENT CURA_WILL_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_WILL,
Events,C.U.R.A Events,,EVENT CURA_SCANDAL_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_SCANDAL,
Events,C.U.R.A Events,,EVENT CURA_TORTURE_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_TORTURE,
Events,C.U.R.A Events,,EVENT CURA_OUTPOST_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_OUTPOST,
Events,C.U.R.A Events,,EVENT CURA_SHIP_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_SHIP,
Events,C.U.R.A Events,,EVENT CURA_DUSK_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_DUSK,
Events,C.U.R.A Events,,EVENT CURA_DUSK_TRIGGER,
Events,C.U.R.A Events,,EVENT CURA_CONTRACT_PREVIEW,
Events,C.U.R.A Events,,EVENT CURA_CONTRACT,
Events,C.U.R.A Events,,EVENT CURA_HQ_PREVIEW,
Events,Ellie Events,,EVENT ELLIE_START,[!] 
Events,Ellie Events,,EVENT ELLIE_RIGLEY,
Events,Ellie Events,,EVENT ELLIE_HUEGHEY,
Events,Ellie Events,,EVENT ELLIE_REMMY,
Events,Ellie Events,,EVENT ELLIE_PAUL,
Events,Ellie Events,,EVENT ELLIE_SAMMY,
Events,Filler Events,,EVENT FILLER GIFT,[!] 
Events,Filler Events,,EVENT FILLER_FREE,
Events,Filler Events,,EVENT FILLER_DRONE,
Events,Filler Events,,EVENT FILLER_WEAPON,
Events,Filler Events,,EVENT FILLER_SIGNAL,[!] 
Events,Filler Events,,EVENT FILLER_EQUINOID,[!] 
Events,Filler Events,,EVENT FILLER_SICK,[!] 
Events,Filler Events,,EVENT FILLER_PLAGUE,[!] 
Events,Filler Events,,EVENT FILLER_UPGRADES,[!] 
Events,Filler Events,,EVENT FILLER_EXPLORE,[!] 
Events,Filler Events,,EVENT FILLER_SELL_DRONES,[!] 
Events,Filler Events,,EVENT FILLER_SELL_MISSILES,[!] 
Events,Filler Events,,EVENT FILLER_TRADER_CIV,
Events,Filler Events,,EVENT FILLER_FUEL_FOR_DRONE,
Events,Filler Events,,EVENT FILLER_REFUEL,[!] 
Events,Filler Events,,EVENT FILLER_REPAIR,[!] 
Events,Filler Events,,EVENT FILLER_SOLARWRECK,[!] 
Events,Filler Events,,EVENT FILLER_TAVERN_HIRE,[!] 
Events,Filler Events,,EVENT FILLER_HELP_MINERS,[!] 
Events,Filler Events,,EVENT FILLER_WRECKAGE_EVENT,[!] 
Events,Filler Events,,EVENT FILLER_TERRAFORMING_SCAN,[!] 
Events,Filler Events,,EVENT FILLER_CONFUSED_MANTIS,[!] 
Events,Filler Events,,EVENT FILLER_REFUGEE_NO_DISTRESS,
Events,Filler Events,,EVENT FILLER_CROPS,[!] 
Events,Filler Events,,EVENT FILLER_CLAIRVOYANT,
Events,Filler Events,,EVENT FILLER_EXPLODED,[!] 
Events,Filler Events,,EVENT FILLER_TIMER,[!] 
Events,Filler Events,,EVENT FILLER_GHOSTSHIP,[!] 
Events,Filler Events,,EVENT FILLER_ARGEONN_SALESMAN,[!] 
Events,Filler Events,,EVENT FILLER_EMPTY_STATION,[!] 
Events,Filler Events,,EVENT FILLER_REBEL_CHECKPOINT,
Events,Filler Events,,EVENT FILLER_REBEL_HELPERS,[!] 
Events,Filler Events,,EVENT FILLER_ROGUE_REBEL,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_ABANDONED,
Events,Filler Events,,EVENT FILLER_DISTRESS_REFUGEE,
Events,Filler Events,,EVENT FILLER_DISTRESS_DISEASE,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_FIRE,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_SATELLITE,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_MINER,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_ESCORT,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_COMBAT,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_COLLISION,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_RESCUE,
Events,Filler Events,,EVENT FILLER_DISTRESS_STRANDED,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_TRAP,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_FRIENDLY,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_FACTORY,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_IDLE,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_CRASH,
Events,Filler Events,,EVENT FILLER_DISTRESS_FEDERATION_LOST,
Events,Filler Events,,EVENT FILLER_WORK_START,[!] 
Events,Filler Events,,EVENT QUEST_STORE_RESCUE_MV,
Events,Filler Events,,EVENT FILLER_INVASION_START,[!] 
Events,Filler Events,,EVENT QUEST_FILLER_INVASION,[!] 
Events,Filler Events,,EVENT FILLER_QUEST_CREWDEAD_START,[!] 
Events,Filler Events,,EVENT QUEST_CREWDEAD_MV,[!] 
Events,Filler Events,,EVENT FILLER_MERCHANT_REQUEST,[!] 
Events,Filler Events,,EVENT FILLER_MERCHANT_DELIVER,
Events,Filler Events,,EVENT FILLER_MERCHANT_INVESTIGATE,
Events,Filler Events,,EVENT FILLER_MERCHANT_INVESTIGATE_DELIVER,
Events,Filler Events,,EVENT FILLER_QUEST_ESCORT,
Events,Filler Events,,EVENT QUEST_ESCORT_ARRIVE_MV,
Events,Filler Events,,EVENT FILLER_DELIVERY,[!] 
Events,Filler Events,,EVENT QUEST_MERCENARY_DELIVERY_END,
Events,Filler Events,,EVENT FILLER_STORE_RESCUE,[!] 
Events,Filler Events,,EVENT FILLER_CONSTRUCTIONYARD,[!] 
Events,Filler Events,,EVENT FILLER_CONSTRUCTIONYARD_LIST,
Events,Filler Events,,EVENT FILLER_HIVECHOICE,[!] 
Events,Filler Events,,EVENT FILLER_AUTOCHOICE,[!] 
Events,Filler Events,,EVENT FILLER_INFORMANT,[!] 
Events,Filler Events,,EVENT FILLER_DISTRESS_ASB,[!] ---unused
Events,Fuel Events,,EVENT FUEL_FLEET_DELAY,
Events,Fuel Events,,EVENT FUEL_NOTHING,
Events,Fuel Events,,EVENT NO_FUEL_REFUGEE_FRIENDLY_MV,
Events,Fuel Events,,EVENT FUEL_TRADER_MV,
Events,Fuel Events,,EVENT FUEL_EXPLORE_MV,
Events,Fuel Events,,EVENT FUEL_APPROACH_MV,
Events,Fuel Events,,EVENT FUEL_FREEMANTIS_CONFUSED,
Events,Fuel Events,,EVENT FUEL_NOTHING_DISTRESS,
Events,Fuel Events,,EVENT FUEL_SELLER_DISTRESS,
Events,Fuel Events,,EVENT FUEL_TRADER_DISTRESS_MV,
Events,Fuel Events,,EVENT NO_FUEL_REFUGEE,
Events,Fuel Events,,EVENT NO_FUEL_REFUGEE_DAMAGED,
Events,Fuel Events,,EVENT NO_FUEL_REFUGEE_PIRATE,
Events,Fuel Events,,EVENT FUEL_ON_REBEL_ATTACK,
Events,Fuel Events,,EVENT FUEL_ON_REBEL_WARNING,
Events,Fuel Events,,EVENT FUEL_OFF_ENGI_DUBIOUS_MV,
Events,Fuel Events,,EVENT FUEL_ON_MANTIS_ATTACK,
Events,Fuel Events,,EVENT FUEL_ROCK_MV,
Events,Fuel Events,,EVENT FUEL_SHELL_SCANS,
Events,Fuel Events,,EVENT FUEL_ON_SLUG_CHUCKLE,
Events,Fuel Events,,EVENT FUEL_ON_SLUG_OVERPRICED,
Events,Fuel Events,,EVENT FUEL_ON_DYNASTY,
Events,Salvage Events,,EVENT SALVAGE_FAIL,
Events,Salvage Events,,EVENT SALVAGE_ARM_LOW,Magnetic Arm option
Events,Salvage Events,,EVENT SALVAGE_DEFAULT_LOW,
Events,Salvage Events,,EVENT SALVAGE_DEFAULT_MED,
Events,Salvage Events,,EVENT SALVAGE_DEFAULT_HIGH,
Events,Salvage Events,,EVENT SALVAGE_DEFAULT_FUEL,
Events,Salvage Events,,EVENT SALVAGE_DEFAULT_MINEFIELD,
Events,Salvage Events,,EVENT SALVAGE_DEFAULT_DRONE,
Events,Salvage Events,,EVENT SALVAGE_DEFAULT_PIRATES,
Events,Salvage Events,,EVENT SALVAGE_DEFAULT_CACHE,
Events,Salvage Events,,EVENT SALVAGE_DEFAULT_SHRINE,
Events,Salvage Events,,EVENT SALVAGE_DEFAULT_COLONY,
Events,Standard (stores/empty beacon) Events,,EVENT REVISIT,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_GENERIC,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_NOSYS,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_NOCREW,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_ENGI,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_SEPARATIST,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_ZOLTAN,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_ORCHID,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_VAMPWEED,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_CRYSTAL,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_CRYSTAL_MORECRYSTAL,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_FREEMANTIS,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_ROCK,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_LOST_SUNS,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_MANTIS,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_DUSK,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_REBEL,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_AUTO,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_COALITION,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_DYNASTY,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_CULTIST,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_ANCIENT,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_PIRATE,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_SLUG,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_LEECH,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_SHELL,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_LANIUS,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_AUGMENTED,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_HOSTILE_REBEL,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_HOSTILE_AUTO,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_HOSTILE_PIRATE,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_HOSTILE_MANTIS,
Events,Standard (stores/empty beacon) Events,,EVENT NEBULA_STORE_HOSTILE_MORPH,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_HOSTILE_MORPH,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_HOSTILE_SPIDER,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_HOSTILE_BROOD,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_HOSTILE_CULTIST,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_HOSTILE_ANCIENT,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_HOSTILE_START,
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ALIENS,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT NEBULA_STOREEVENT_OUTPOST,
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_OUTPOST,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_REFUELING,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT NEBULA_STOREEVENT_MERCHANTS,
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_MERCHANTS,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_MERCHANTS_LASERS,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_MERCHANTS_MISSILES,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_MERCHANTS_IONS,
Events,Standard (stores/empty beacon) Events,,EVENT STORE_LOAD_MERCHANTS_FOCUS,unused
Events,Standard (stores/empty beacon) Events,,EVENT NEBULA_STOREEVENT_DAMAGED,
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_DAMAGED,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_TERRAFORMING,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_WEATHER_STUCK,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT NEBULA_STOREEVENT_FED_AUTO,
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_FED_AUTO,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_FED_MARKET,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT NEBULA_STOREEVENT_FED_OUTPOSTDAMAGE,
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_FED_OUTPOSTDAMAGE,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_FED_NOTFREE,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_UNION_WAR_ORPHANS,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_DETRITUS,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ARCHIVE_REC_CENTER,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ENGI_THREAT,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ENGI_SMITH,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ENGI_ENGINES,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ENGI_PESTER,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_SEPARATIST_UNLOADING,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_SEPARATIST_CHECKPOINT,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT NEBULA_STOREEVENT_ZOLTAN_MERCHANT,
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ZOLTAN_MERCHANT,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ZOLTAN_REPAIRS,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT NEBULA_STOREEVENT_ZOLTAN_MONK,
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ZOLTAN_MONK,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT NEBULA_STOREEVENT_ZOLTAN_GUARDS,
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ZOLTAN_GUARDS,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ORCHID_KERNELS,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ORCHID_STATION,[!] 
Events,Standard (stores/empty beacon) Events,,EVENT STOREEVENT_ORCHID_FIRE,[!] 
